ID,SKU,Imagem,Produto,Modelo,Categorias,Pontos,Preço,Quantidade,Produto Destacado,Situação,Etiquetas
13,13,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/7754-classic-all-black-1.png,ALL CLASSIC ALL BLACK,13,,,"R$489,00",278,Sim,Habilitado,
14,14,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/1198-folder-2023.jpeg,FOLDERS                                                                                         KIT,14,,,"R$120,00",60,Não,Habilitado,
19,19,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/2792-casual-black-1.png,CASUALL BLACK,19,,,"R$469,00",50,Sim,Habilitado,
22,22,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/4569-bumper-white-1-.png,BUMPER WHITE,22,,,"R$499,00",82,Sim,Habilitado,
23,23,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/3145-bumper-black-2.png,BUMPER BLACK,23,,,"R$499,00",91,Sim,Habilitado,
300,300,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/9976-casual-grey-2.png,CASUALL GREY,243,,,"R$469,00",60,Sim,Habilitado,
25,25,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/4077-carrinho-1.png,MALA MOSTRUARIO CARRINHO,25,,,"R$799,00",19,Sim,Habilitado,
29,29,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/7506-photo_2021-10-05_14-38-11.jpg,SENSOR DE ENERGIA MAGNETICA,29,,,"R$320,00",0,Sim,Habilitado,
38,38,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/5118-classic-linho-1.png,ALL CLASSIC LINHO RECICLADO,38,,,"R$489,00",109,Sim,Habilitado,
47,47,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/8321-tapete-all-in.png,TAPETE DE DEMONSTRACAO,47,,,"R$200,00",13,Sim,Habilitado,
